vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,pickup_datetime1,pickup_datetime2,pickup_date,dropoff_datetime1,dropoff_datetime2,dropoff_date,pickup_time,dropoff_time
CMT,6/1/2014 19:19,6/1/2014 19:38,1,3,-73.982796,40.735439,1,N,-74.015518,40.715801,CSH,14.5,0,0.5,0,0,15,6/1/2014,19:19:41,19875,6/1/2014,19:38:33,19875,19:19:41,19:38:33
CMT,6/1/2014 20:16,6/1/2014 20:25,1,1.3,-73.996773,40.714825,1,N,-74.004524,40.72868,CSH,8,0.5,0.5,0,0,9,6/1/2014,20:16:02,19875,6/1/2014,20:25:45,19875,20:16:02,20:25:45
VTS,6/1/2014 20:16,6/1/2014 20:21,2,1.39,-74.001831,40.751087,1,,-73.987617,40.764523,CRD,6,0.5,0.5,1.3,0,8.3000002,6/1/2014,20:16:00,19875,6/1/2014,20:21:00,19875,20:16:00,20:21:00
VTS,6/1/2014 20:16,6/1/2014 20:27,1,2.23,-74.008163,40.737816,1,,-73.982605,40.755936,CRD,9.5,0.5,0.5,2,0,12.5,6/1/2014,20:16:00,19875,6/1/2014,20:27:00,19875,20:16:00,20:27:00
VTS,6/1/2014 20:16,6/1/2014 20:25,1,1.8200001,-73.965019,40.806728,1,,-73.970627,40.78582,CRD,8.5,0.5,0.5,1.8,0,11.3,6/1/2014,20:16:00,19875,6/1/2014,20:25:00,19875,20:16:00,20:25:00
VTS,6/1/2014 20:16,6/1/2014 20:27,1,1.6,-73.982361,40.735924,1,,-73.997124,40.722118,CRD,9,0.5,0.5,1,0,11,6/1/2014,20:16:00,19875,6/1/2014,20:27:00,19875,20:16:00,20:27:00
VTS,6/1/2014 20:16,6/1/2014 20:20,2,0.98000002,-74.008179,40.722965,1,,-74.010063,40.734501,CRD,5.5,0.5,0.5,1.5,0,8,6/1/2014,20:16:00,19875,6/1/2014,20:20:00,19875,20:16:00,20:20:00
VTS,6/1/2014 20:16,6/1/2014 20:28,1,3.23,-73.975662,40.781761,1,,-73.940659,40.794895,CSH,12,0.5,0.5,0,0,13,6/1/2014,20:16:00,19875,6/1/2014,20:28:00,19875,20:16:00,20:28:00
CMT,6/1/2014 11:25,6/1/2014 11:35,2,2.4000001,-74.008629,40.719204,1,N,-73.988129,40.742599,CRD,10,0,0.5,2.0999999,0,12.6,6/1/2014,11:25:13,19875,6/1/2014,11:35:15,19875,11:25:13,11:35:15
VTS,6/1/2014 18:42,6/1/2014 18:55,6,2.0699999,-74.000389,40.734589,1,,-73.976219,40.749004,CRD,10.5,0,0.5,2.0999999,0,13.1,6/1/2014,18:42:00,19875,6/1/2014,18:55:00,19875,18:42:00,18:55:00
VTS,6/1/2014 20:16,6/1/2014 20:33,1,2.8599999,-73.978027,40.782909,1,,-73.993942,40.751251,CSH,13,0.5,0.5,0,0,14,6/1/2014,20:16:00,19875,6/1/2014,20:33:00,19875,20:16:00,20:33:00
VTS,6/1/2014 20:16,6/1/2014 20:26,2,1.61,-73.972687,40.756256,1,,-73.983444,40.761921,CSH,7.5,0.5,0.5,0,0,8.5,6/1/2014,20:16:00,19875,6/1/2014,20:26:00,19875,20:16:00,20:26:00
VTS,6/1/2014 9:34,6/1/2014 9:49,1,3.74,-73.949867,40.768608,1,,-73.993568,40.749962,UNK,14.5,0,0.5,2.9000001,0,17.9,6/1/2014,9:34:00,19875,6/1/2014,9:49:00,19875,9:34:00,9:49:00
VTS,6/1/2014 20:16,6/1/2014 20:21,2,1.08,-73.972244,40.782326,1,,-73.984955,40.776707,CSH,6,0.5,0.5,0,0,7,6/1/2014,20:16:00,19875,6/1/2014,20:21:00,19875,20:16:00,20:21:00
VTS,6/1/2014 20:16,6/1/2014 20:30,1,2.6800001,-73.975906,40.776031,1,,-73.964439,40.804783,CRD,12,0.5,0.5,2.5,0,15.5,6/1/2014,20:16:00,19875,6/1/2014,20:30:00,19875,20:16:00,20:30:00
VTS,6/1/2014 20:16,6/1/2014 20:30,2,2.95,-73.948112,40.770611,1,,-73.969887,40.796471,CRD,12,0.5,0.5,2.5,0,15.5,6/1/2014,20:16:00,19875,6/1/2014,20:30:00,19875,20:16:00,20:30:00
CMT,6/1/2014 19:56,6/1/2014 21:00,1,8.6000004,-73.983139,40.72654,1,N,-73.88578,40.764694,CRD,35,0,0.5,10,0,45.5,6/1/2014,19:56:51,19875,6/1/2014,21:00:27,19875,19:56:51,21:00:27
VTS,6/1/2014 20:16,6/1/2014 20:25,1,1.74,0,0,1,,0,0,CRD,8,0.5,0.5,2.1199999,0,11.12,6/1/2014,20:16:00,19875,6/1/2014,20:25:00,19875,20:16:00,20:25:00
CMT,6/1/2014 3:59,6/1/2014 4:08,1,2.5,-73.971169,40.762527,1,N,-73.987885,40.731758,CRD,10,0.5,0.5,2,0,13,6/1/2014,3:59:54,19875,6/1/2014,4:08:25,19875,3:59:54,4:08:25
VTS,6/1/2014 18:42,6/1/2014 19:00,1,2.1600001,-73.988091,40.73616,1,,-73.992142,40.758179,CRD,13,0,0.5,2.5999999,0,16.1,6/1/2014,18:42:00,19875,6/1/2014,19:00:00,19875,18:42:00,19:00:00
CMT,6/1/2014 20:55,6/1/2014 21:02,1,1.5,-74.00206,40.724411,1,N,-73.99202,40.738564,CSH,7.5,0.5,0.5,0,0,8.5,6/1/2014,20:55:26,19875,6/1/2014,21:02:56,19875,20:55:26,21:02:56
VTS,6/1/2014 20:16,6/1/2014 20:18,1,0.61000001,-73.997581,40.741734,1,,-74.006615,40.744022,CSH,4,0.5,0.5,0,0,5,6/1/2014,20:16:00,19875,6/1/2014,20:18:00,19875,20:16:00,20:18:00
VTS,6/1/2014 20:36,6/1/2014 20:39,6,0.47999999,-73.99202,40.754833,1,,-73.988876,40.758705,CSH,4,0.5,0.5,0,0,5,6/1/2014,20:36:00,19875,6/1/2014,20:39:00,19875,20:36:00,20:39:00
