vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,pickup_datetime1,pickup_datetime2,pickup_date,dropoff_datetime1,dropoff_time,dropoff_date,pickup_time,pickup_hour,pickup_minutes,pickup_seconds,customer_id
VTS,6/1/2014 17:00,6/1/2014 17:03,1,0.699999988,-73.95559692,40.77942657,1,,-73.95585632,40.77204132,CRD,4.5,0,0.5,0.5,0,5.5,6/1/2014,17:00:00,19875,6/1/2014,17:03:00,19875,5:00:00 PM,17,0,0,32
VTS,6/1/2014 17:00,6/1/2014 17:04,4,0.850000024,-73.9556427,40.76821518,1,,-73.9556427,40.76821518,CRD,5,0,0.5,1,0,6.5,6/1/2014,17:00:00,19875,6/1/2014,17:04:00,19875,5:00:00 PM,17,0,0,33
VTS,6/1/2014 17:00,6/1/2014 17:09,1,1.669999957,-73.95567322,40.77357101,1,,-73.97772217,40.77869415,CRD,8.5,0,0.5,1,0,10,6/1/2014,17:00:00,19875,6/1/2014,17:09:00,19875,5:00:00 PM,17,0,0,34
VTS,6/1/2014 17:00,6/1/2014 17:03,1,0.879999995,-73.95628357,40.76337051,1,,-73.94831848,40.77434158,CRD,5.5,0,0.5,1,0,7,6/1/2014,17:00:00,19875,6/1/2014,17:03:00,19875,5:00:00 PM,17,0,0,35
VTS,6/1/2014 17:00,6/1/2014 17:03,1,0.579999983,-73.95645905,40.81360626,1,,-73.96174622,40.81271744,CSH,4,0,0.5,0,0,4.5,6/1/2014,17:00:00,19875,6/1/2014,17:03:00,19875,5:00:00 PM,17,0,0,36
VTS,6/1/2014 17:00,6/1/2014 17:20,1,1.220000029,-73.95655823,40.7713356,1,,-73.9610672,40.75690079,CRD,12.5,0,0.5,1,0,14,6/1/2014,17:00:00,19875,6/1/2014,17:20:00,19875,5:00:00 PM,17,0,0,37
VTS,6/1/2014 17:00,6/1/2014 17:16,1,2.890000105,-73.95742798,40.80166626,1,,-73.98314667,40.78453064,CRD,13,0,0.5,3,0,16.5,6/1/2014,17:00:00,19875,6/1/2014,17:16:00,19875,5:00:00 PM,17,0,0,38
VTS,6/1/2014 17:00,6/1/2014 17:14,1,1.659999967,-73.95994568,40.77060318,1,,-73.97188568,40.76570129,CSH,10.5,0,0.5,0,0,11,6/1/2014,17:00:00,19875,6/1/2014,17:14:00,19875,5:00:00 PM,17,0,0,39
VTS,6/1/2014 17:00,6/1/2014 17:13,5,3.150000095,-73.96004486,40.81360626,1,,-73.96282959,40.77827454,CSH,12,0,0.5,0,0,12.5,6/1/2014,17:00:00,19875,6/1/2014,17:13:00,19875,5:00:00 PM,17,0,0,40
VTS,6/1/2014 17:00,6/1/2014 17:25,5,5,-73.96063232,40.76148605,1,,-73.96032715,40.81471252,CSH,20,0,0.5,0,0,20.5,6/1/2014,17:00:00,19875,6/1/2014,17:25:00,19875,5:00:00 PM,17,0,0,41
VTS,6/1/2014 17:00,6/1/2014 17:03,5,1.139999986,-73.96233368,40.76749039,1,,-73.95280457,40.7808609,CSH,5,0,0.5,0,0,5.5,6/1/2014,17:00:00,19875,6/1/2014,17:03:00,19875,5:00:00 PM,17,0,0,42
VTS,6/1/2014 17:00,6/1/2014 17:11,6,1.700000048,-73.9626236,40.79916382,1,,-73.94149017,40.79849243,CRD,9.5,0,0.5,1.899999976,0,11.89999962,6/1/2014,17:00:00,19875,6/1/2014,17:11:00,19875,5:00:00 PM,17,0,0,43
VTS,6/1/2014 17:00,6/1/2014 17:04,5,1.139999986,-73.96271515,40.76635742,1,,-73.95274353,40.78045273,CSH,5.5,0,0.5,0,0,6,6/1/2014,17:00:00,19875,6/1/2014,17:04:00,19875,5:00:00 PM,17,0,0,44
CMT,6/1/2014 17:00,6/1/2014 17:33,1,6.900000095,-73.96333313,40.71688843,1,Y,-73.97465515,40.67559052,CSH,25.5,0,0.5,0,0,26,6/1/2014,17:00:00,19875,6/1/2014,17:33:26,19875,5:00:00 PM,17,0,0,45
VTS,6/1/2014 17:00,6/1/2014 17:12,2,2.720000029,-73.96349335,40.79850388,1,,-73.98861694,40.76410675,CRD,11.5,0,0.5,1,0,13,6/1/2014,17:00:00,19875,6/1/2014,17:12:00,19875,5:00:00 PM,17,0,0,46
