customer_id,pickup_date,pickup_time,pickup_latitude,pickup_longitude,passenger_count,dropoff_date,dropoff_time,dropoff_latitude,dropoff_longitude,trip_distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
40,6/1/2014,8:03:00,40.76331711,-73.99237823,5,6/1/2014,8:09:00,40.75353241,-73.97792816,1.200000048,6,0,0.5,0,0,6.5
41,6/1/2014,8:03:01,40.76062775,-73.98542786,2,6/1/2014,8:22:55,40.7743187,-73.87267303,11.10000038,32,0,0.5,0,5.329999924,37.83000183
42,6/1/2014,8:03:09,40.75876617,-73.98953247,1,6/1/2014,8:09:20,40.74833298,-73.98497009,1,6.5,0,0.5,0,0,7
43,6/1/2014,8:03:13,40.74979782,-74.00257874,1,6/1/2014,8:05:38,40.75046539,-73.99469757,0.600000024,4,0,0.5,0,0,4.5
44,6/1/2014,8:03:28,40.78375244,-73.97956848,1,6/1/2014,8:13:14,40.76759338,-73.96351624,1.899999976,9.5,0,0.5,0,0,10
45,6/1/2014,8:03:35,40.7718277,-73.96353149,1,6/1/2014,8:06:33,40.76809311,-73.96818542,0.400000006,4,0,0.5,0,0,4.5
46,6/1/2014,8:03:44,40.76661682,-73.95685577,1,6/1/2014,8:22:01,40.75624847,-73.87833405,5.5,19.5,0,0.5,0,0,20
47,6/1/2014,8:03:57,40.77294159,-73.95353699,1,6/1/2014,8:06:36,40.77689362,-73.96404266,0.600000024,4,0,0.5,0,0,4.5
48,6/1/2014,8:04:00,40.71142578,-73.94724274,4,6/1/2014,8:07:00,40.71066284,-73.95606232,0.529999971,4.5,0,0.5,0,0,5
49,6/1/2014,8:04:00,40.76185608,-73.96058655,1,6/1/2014,8:14:00,40.75094986,-73.99082947,2.900000095,11.5,0,0.5,2.299999952,0,14.30000019
50,6/1/2014,8:04:00,40.76549911,-73.97207642,1,6/1/2014,8:11:00,40.73151016,-73.99716949,2.720000029,9.5,0,0.5,2.849999905,0,12.85000038
51,6/1/2014,8:04:00,40.78790665,-73.97859192,1,6/1/2014,8:13:00,40.75608826,-73.99811554,3.049999952,11.5,0,0.5,0,0,12
52,6/1/2014,8:04:00,40.76873779,-73.9878006,1,6/1/2014,8:12:00,40.75728607,-73.96431732,1.700000048,8.5,0,0.5,0,0,9
53,6/1/2014,8:04:00,40.73195648,-74.00067902,1,6/1/2014,8:10:00,40.75257111,-73.97863007,2.190000057,8.5,0,0.5,0,0,9
54,6/1/2014,8:04:04,40.68680954,-73.99606323,1,6/1/2014,8:21:30,40.75788879,-73.96936798,6,19.5,0,0.5,0,0,20
55,6/1/2014,8:04:16,40.76488876,-73.98141479,2,6/1/2014,8:26:10,40.7741394,-73.87117004,10.5,31,0,0.5,0,5.329999924,36.83000183
56,6/1/2014,8:04:23,40.69638824,-73.98329926,1,6/1/2014,8:16:08,40.74911118,-73.99163055,4.300000191,14.5,0,0.5,0,0,15
57,6/1/2014,8:04:29,40.68069077,-73.97492218,1,6/1/2014,8:21:02,40.75215149,-73.97711182,5.800000191,19,0,0.5,3.900000095,0,23.39999962
58,6/1/2014,8:04:38,40.79512787,-73.97318268,1,6/1/2014,8:18:50,40.75582886,-73.97945404,3.599999905,13.5,0,0.5,0,0,14
59,6/1/2014,8:04:45,40.73839188,-73.99224091,1,6/1/2014,8:11:28,40.71707916,-74.00408173,1.799999952,8,0,0.5,2.5,0,11
60,6/1/2014,8:04:51,40.78078461,-73.95470428,1,6/1/2014,8:12:51,40.80395889,-73.93971252,2,9,0,0.5,0,0,9.5
61,6/1/2014,8:05:00,40.64839935,-73.78527832,1,6/1/2014,8:30:00,40.75147629,-73.98961639,17.38999939,52,0,0.5,0,5.329999924,57.83000183
62,6/1/2014,8:05:00,40.76654053,-73.95288086,1,6/1/2014,8:16:00,40.7612114,-73.98146057,2.099999905,10,0,0.5,0,0,10.5
63,6/1/2014,8:05:00,40.80405045,-73.96639252,5,6/1/2014,8:15:00,40.77619934,-73.98718262,2.230000019,10,0,0.5,1.080000043,0,11.57999992
64,6/1/2014,8:05:00,40.73674011,-73.97872925,1,6/1/2014,8:13:00,40.74889374,-73.99124146,1.399999976,7.5,0,0.5,1,0,9
65,6/1/2014,8:05:00,40.7417717,-73.98535919,1,6/1/2014,8:11:00,40.75631714,-73.97790527,1.389999986,7,0,0.5,0,0,7.5
66,6/1/2014,8:05:00,40.7509613,-73.99433136,1,6/1/2014,8:15:00,40.74988174,-73.97232056,1.49000001,8.5,0,0.5,0,0,9
67,6/1/2014,8:05:01,40.74463272,-73.97560883,2,6/1/2014,8:11:08,40.72476959,-73.97842407,1.600000024,7.5,0,0.5,1,0,9
68,6/1/2014,8:05:13,40.79772186,-73.97163391,1,6/1/2014,8:37:25,40.64395523,-73.78300476,19.70000076,52,0,0.5,5,5.329999924,62.83000183
69,6/1/2014,8:05:19,40.73719025,-74.0014267,1,6/1/2014,8:10:22,40.74920654,-74.00578308,1.299999952,6.5,0,0.5,1.75,0,8.75
70,6/1/2014,8:05:28,40.75499344,-73.98404694,2,6/1/2014,8:07:40,40.7563858,-73.98761749,0.300000012,3.5,0,0.5,0,0,4
71,6/1/2014,8:05:41,40.79072571,-73.96556091,1,6/1/2014,8:17:28,40.75485229,-73.98040771,3.099999905,12,0,0.5,3.119999886,0,15.61999989
72,6/1/2014,8:05:48,40.65441513,-74.00405121,1,6/1/2014,8:17:16,40.62129593,-74.00299835,3.5,13,0,0.5,0,0,13.5
73,6/1/2014,8:05:57,40.7652092,-73.99771881,1,6/1/2014,8:14:02,40.7564621,-73.99044037,1,7,0,0.5,0,0,7.5
74,6/1/2014,8:06:00,40.79940033,-73.93907928,1,6/1/2014,8:11:00,40.82682037,-73.93009949,2.700000048,9,0,0.5,0,0,9.5
75,6/1/2014,8:06:00,40.76751709,-73.95330811,1,6/1/2014,8:13:00,40.78623199,-73.94991302,1.690000057,7.5,0,0.5,1,0,9
76,6/1/2014,8:06:00,40.76451111,-73.97186279,5,6/1/2014,8:10:00,40.77225113,-73.97851563,0.980000019,5,0,0.5,1,0,6.5
77,6/1/2014,8:06:00,40.74951935,-73.97969055,1,6/1/2014,8:20:00,40.70590973,-74.01804352,5.53000021,18.5,0,0.5,5.550000191,0,24.54999924
78,6/1/2014,8:06:00,40.76579666,-73.99030304,6,6/1/2014,8:09:00,40.75971222,-73.97687531,0.850000024,5,0,0.5,1,0,6.5
79,6/1/2014,8:06:00,40.73714066,-74.00382996,1,6/1/2014,8:15:00,40.71708679,-73.99558258,2,9,0,0.5,0,0,9.5
