customer_id,pickup_date,pickup_time,pickup_latitude,pickup_longitude,passenger_count,dropoff_date,dropoff_time,dropoff_latitude,dropoff_longitude,trip_distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
76,2014-06-04,08:00:00,40.74589157,-73.97260284,1,2014-06-04,08:22:00,40.7591362,-73.97000122,2.880000114,15.5,0,0.5,3.880000114,0,19.87999916
77,2014-06-04,08:00:00,40.75836182,-73.97283173,5,2014-06-04,08:03:00,40.76787186,-73.96880341,0.639999986,4.5,0,0.5,0,0,5
78,2014-06-04,08:00:00,40.74377441,-73.97348785,2,2014-06-04,08:11:00,40.75047302,-73.99127197,1.210000038,8.5,0,0.5,1.700000048,0,10.69999981
79,2014-06-04,08:00:00,40.76414108,-73.97382355,1,2014-06-04,08:10:00,40.75022888,-73.99141693,1.659999967,9,0,0.5,0,0,9.5
80,2014-06-04,08:00:00,40.78310394,-73.97413635,2,2014-06-04,08:08:00,40.76189041,-73.98103333,1.809999943,8,0,0.5,1.600000024,0,10.10000038
81,2014-06-04,08:00:00,40.74694824,-73.97455597,6,2014-06-04,08:09:00,40.73139191,-73.98285675,1.299999952,8,0,0.5,1,0,9.5
82,2014-06-04,08:00:00,40.74213791,-73.97468567,3,2014-06-04,08:05:00,40.75498199,-73.97045135,1.159999967,6,0,0.5,0,0,6.5
83,2014-06-04,08:00:00,40.75551224,-73.97481537,5,2014-06-04,08:15:00,40.74028015,-73.97624207,1.610000014,11,0,0.5,2.200000048,0,13.69999981
84,2014-06-04,08:00:00,40.74228668,-73.97491455,5,2014-06-04,08:05:00,40.75043869,-73.97341919,0.74000001,5,0,0.5,1,0,6.5
85,2014-06-04,08:00:00,40.75591278,-73.97493744,1,2014-06-04,08:03:00,40.76270676,-73.97167969,0.550000012,4,0,0.5,0.800000012,0,5.300000191
86,2014-06-04,08:00:00,40.75222778,-73.97525787,3,2014-06-04,08:06:00,40.73933029,-73.98503876,1.100000024,6,0,0.5,1.200000048,0,7.699999809
87,2014-06-04,08:00:00,40.75185013,-73.9753418,2,2014-06-04,08:09:00,40.73788071,-73.98825073,1.279999971,7.5,0,0.5,0,0,8
88,2014-06-04,08:00:00,40.75613403,-73.97640228,1,2014-06-04,08:01:00,40.76099396,-73.97344208,0.419999987,3.5,0,0.5,0,0,4
89,2014-06-04,08:00:00,40.77679825,-73.97727966,1,2014-06-04,08:06:00,40.7884903,-73.9810791,1.25999999,7,0,0.5,1.399999976,0,8.899999619
90,2014-06-04,08:00:00,40.74211884,-73.97777557,1,2014-06-04,08:16:00,40.73180389,-73.99662781,1.799999952,11.5,0,0.5,1,0,13
91,2014-06-04,08:00:00,40.75379181,-73.97798157,1,2014-06-04,08:04:00,40.75315475,-73.97305298,0.469999999,4.5,0,0.5,0,0,5
92,2014-06-04,08:00:00,40.73415756,-73.9780426,1,2014-06-04,08:09:00,40.74149323,-73.98922729,1.019999981,8,0,0.5,1.600000024,0,10.10000038
93,2014-06-04,08:00:00,40.75288773,-73.97844696,1,2014-06-04,08:08:00,40.75877762,-73.98208618,0.709999979,6.5,0,0.5,1,0,8
94,2014-06-04,08:00:00,40.76279831,-73.97860718,1,2014-06-04,08:06:00,40.75037766,-73.98226929,1.159999967,6,0,0.5,1.200000048,0,7.699999809
95,2014-06-04,08:00:00,40.73704529,-73.97889709,1,2014-06-04,08:14:00,40.77083206,-73.96315002,2.970000029,12.5,0,0.5,2.5,0,15.5
96,2014-06-04,08:00:00,40.74911499,-73.97974396,1,2014-06-04,08:03:00,40.7418251,-73.98551178,0.620000005,4.5,0,0.5,0.899999976,0,5.900000095
